542,5729752
547,4710464
546,0941792
545,4246998
546,4000702
543,9832211
550,134182
544,3160534
544,0752506
545,1452732
551,7144203
552,3295403
550,9982109
543,5004234
545,5238819
563,6985302
546,0779667
550,1732826
532,1063995
546,4529991
544,7609425
547,6768017
620,4624176
566,1597252
550,3139496
532,2933197
540,004015
532,6547623
539,7386551
531,0196877
530,680418
531,075716
531,9199562
531,7728519
534,7771645
545,5610752
539,0815735
535,5875492
533,9889526
535,8672142
535,7892513
531,9976807
532,6464176
531,6903591
529,5722485
538,3439064
529,5596123
530,34091
540,191412
529,9310684
535,2647305
539,7539139
533,7758064
529,0956497
530,3738117
529,0522575
536,4017487
529,8843384
531,5918922
530,3280354
531,4998627
571,9559193
532,6640606
532,3700905
529,8883915
532,4473381
533,0080986
540,8957005
529,2313099
533,1652164
535,1624489
533,2567692
536,0138416
539,9837494
531,015873
531,2690735
530,2159786
529,6223164
537,7070904
531,1107635
531,1505795
528,8157463
531,8629742
528,6865234
538,007021
533,390522
536,0882282
530,4868221
533,9238644
537,0283127
529,447794
528,9831161
530,176878
533,0238342
529,6099186
535,2833271
531,9290161
537,6007557
531,8105221
545,6404686
538,1989479
532,82094
531,8899155
530,7810307
533,3306789
530,1132202
683,4988594
562,609911
532,2959423
533,9181423
531,5928459
542,1638489
530,9598446
532,6766968
532,0453644
531,1634541
530,7290554
534,5823765
531,6646099
543,5836315
531,5227509
531,7230225
537,5964642
529,6077728
531,8968296
583,9555264
615,3516769
531,4962864
536,4587307
532,460928
538,8469696
531,3882828
578,8667202
590,6379223
531,0301781
532,4151516
533,1609249
530,0080776
535,8896255
530,3170681
530,9224129
528,7601948
531,0528278
532,1419239
537,1794701
534,6400738
537,8665924
531,5680504
533,3499908
531,3425064
537,706852
534,4660282
531,7971706
532,4873924
532,7968597
540,5027866
532,2108269
537,1439457
532,5598717
535,9268188
530,6420326
533,5366726
535,8624458
528,4588337
530,3475857
529,3974876
533,0166817
529,0389061
542,904377
530,9374332
540,1618481
530,5016041
528,349638
532,3009491
529,5703411
529,5238495
528,6610126
530,5891037
529,9835205
530,7407379
535,8057022
533,1747532
534,0330601
542,296648
532,0682526
532,7274799
532,4807167
529,5639038
531,1675072
532,0484638
532,4802399
557,4636459
531,1965942
530,629158
528,6722183
531,2716961
594,0830708
532,0980549
531,0504436
534,5754623
529,1600227
529,6180248
530,4403305
532,0601463
529,8037529
529,9050808
530,1334858
531,5001011
530,1377773
609,3189716
529,7532082
529,9146175
531,5356255
530,1754475
530,9224129
533,8225365
670,4976559
550,7576466
530,6713581
529,2854309
529,0939808
537,0633602
533,3166122
530,0073624
530,8890343
531,0606956
529,4642448
529,1068554
531,267643
570,8012581
529,2482376
527,8499126
530,9989452
532,8030586
531,1450958
532,0043564
533,2248211
529,9711227
528,8360119
531,5294266
535,8548164
530,9691429
549,1914749
534,3458652
530,7290554
530,5716991
531,7080021
529,1960239
529,8929214
498,552084
539,3323898
541,2657261
531,8915844
529,4466019
535,0625515
539,2200947
529,2932987
527,2877216
531,3038826
529,5522213
528,2254219
529,1399956
529,378891
530,4574966
528,7611485
530,6828022
531,3823223
530,9829712
536,3061428
528,5315514
530,6634903
537,0995998
531,5301418
529,6733379
536,6747379
527,7292728
529,8519135
530,6267738
531,0256481
527,2591114
528,8658142
543,4851646
529,3610096
531,9051743
529,4015408
529,7322273
529,1111469
537,4276638
533,0860615
530,3554535
531,9476128
530,4269791
530,798912
530,4634571
710,0734711
718,2655334
555,9253693
534,9991322
532,2666168
